District,Latitude,Longitude,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range,March 2025 Probability,March 2025 Tercile,March 2025 Probability Range,April 2025 Probability,April 2025 Tercile,April 2025 Probability Range,May 2025 Probability,May 2025 Tercile,May 2025 Probability Range,June 2025 Probability,June 2025 Tercile,June 2025 Probability Range
Okapa District,-6.461538461538462,145.66666666666666,54.9618509500732,below normal,50-60,43.072292304724726,below normal,40-50,46.193510094404516,below normal,40-50,42.4040408702573,above normal,40-50,42.72418207776825,near normal,40-50
Okapa District,-6.461538461538462,145.76111111111112,56.9625881097993,below normal,50-60,42.242761276221046,below normal,40-50,45.21339546085115,below normal,40-50,42.428697873982735,above normal,40-50,42.24161003553625,near normal,40-50
Unggai/Benna District,-6.276923076923077,145.2888888888889,49.660951288309136,below normal,40-50,46.2459086490409,below normal,40-50,47.28876534456927,below normal,40-50,39.141228013633814,above normal,<40,42.4184037968087,near normal,40-50
Unggai/Benna District,-6.184615384615384,145.2888888888889,51.45230652946778,below normal,50-60,46.631933460133425,below normal,40-50,45.531018704936685,below normal,40-50,37.01198841669833,above normal,<40,40.04301786554811,near normal,40-50
Unggai/Benna District,-6.184615384615384,145.38333333333333,52.87128928026269,below normal,50-60,48.74799140199282,below normal,40-50,45.364234684296704,below normal,40-50,37.24604930439429,above normal,<40,40.19958686306603,near normal,40-50
Unggai/Benna District,-6.184615384615384,145.4777777777778,54.3513667780954,below normal,50-60,48.74993555935503,below normal,40-50,45.19106766899837,below normal,40-50,37.81125552852504,above normal,<40,40.075153780620106,near normal,40-50
Unggai/Benna District,-6.092307692307692,145.4777777777778,55.03053984623843,below normal,50-60,48.84838952610129,below normal,40-50,43.12447157284596,below normal,40-50,36.14970200100218,above normal,<40,37.811650038549644,near normal,<40
Unggai/Benna District,-6.092307692307692,145.57222222222222,56.2966753505864,below normal,50-60,47.849077549041276,below normal,40-50,43.38530743217035,below normal,40-50,37.18089206097261,above normal,<40,37.66705458522078,near normal,<40
Unggai/Benna District,-6.0,145.4777777777778,55.70971291438148,below normal,50-60,48.94684349284755,below normal,40-50,41.05787547669356,below normal,40-50,35.2047478387795,below normal,<40,37.81953422854397,above normal,<40
Unggai/Benna District,-6.0,145.57222222222222,56.72857415863266,below normal,50-60,48.09970031118563,below normal,40-50,41.756196665189556,below normal,40-50,35.804655042280864,above normal,<40,37.72795105604755,above normal,<40
Unggai/Benna District,-5.907692307692307,145.57222222222222,57.16047296667893,below normal,50-60,48.35032307332998,below normal,40-50,40.12708589820873,below normal,40-50,34.4284180235891,above normal,<40,38.441801058679275,above normal,<40
